submission_id,section,evaluator_model,evaluator_type,Problem Statement,Proposed Solution,Technical Architecture,Novelty  Uniqueness/creativity,presentaion,ethical consideration,completeness of design solution,implementing ibm dpk/rag/aws/watsonx/granite,uniqueness,Completeness of the solution,impact on the theme chosen,section_total,used_image,image_path,used_extracted_text
Ascent,problem_statement,ibm/granite-3-2-8b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,,,
Ascent,problem_statement,ibm/granite-3-2b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,,,
Ascent,problem_statement,meta-llama/llama-3-3-70b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,,,
Ascent,problem_statement,mistralai/mistral-large,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,,,
Ascent,proposed_solution,ibm/granite-3-2-8b-instruct,text,5.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0,0.0,0.0,0.0,7.4,,,
Ascent,proposed_solution,ibm/granite-3-2b-instruct,text,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.699999999999999,,,
Ascent,proposed_solution,meta-llama/llama-3-3-70b-instruct,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Ascent,proposed_solution,mistralai/mistral-large,text,0.0,6.0,6.0,5.0,5.0,0.0,5.0,6.0,0.0,0.0,0.0,4.4,,,
Ascent,technical_architecture,ibm/granite-3-2-8b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,False,,False
Ascent,technical_architecture,ibm/granite-3-2b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,False,,False
Ascent,technical_architecture,meta-llama/llama-3-3-70b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,False,,False
Ascent,technical_architecture,mistralai/mistral-large,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,False,,False
COSMIC_CODERS,problem_statement,ibm/granite-3-2-8b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,,,
COSMIC_CODERS,problem_statement,ibm/granite-3-2b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,,,
COSMIC_CODERS,problem_statement,meta-llama/llama-3-3-70b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,,,
COSMIC_CODERS,problem_statement,mistralai/mistral-large,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,,,
COSMIC_CODERS,proposed_solution,ibm/granite-3-2-8b-instruct,text,0.0,7.0,0.0,8.0,6.0,8.0,7.0,9.0,0.0,0.0,0.0,6.0,,,
COSMIC_CODERS,proposed_solution,ibm/granite-3-2b-instruct,text,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,9.45,,,
COSMIC_CODERS,proposed_solution,meta-llama/llama-3-3-70b-instruct,text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
COSMIC_CODERS,proposed_solution,mistralai/mistral-large,text,0.0,7.0,6.0,6.0,5.0,5.0,5.0,8.0,0.0,0.0,0.0,5.65,,,
COSMIC_CODERS,technical_architecture,ibm/granite-3-2-8b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,False,,False
COSMIC_CODERS,technical_architecture,ibm/granite-3-2b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,False,,False
COSMIC_CODERS,technical_architecture,meta-llama/llama-3-3-70b-instruct,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,False,,False
COSMIC_CODERS,technical_architecture,mistralai/mistral-large,text,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,False,,False
